Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1872.754603859501,OUT049
FDW14,1592.5238471002197,OUT017
NCN55,1823.8525428109926,OUT010
FDQ58,2545.8671031301824,OUT017
FDY38,5087.3387653451555,OUT027
FDH56,1945.026818388508,OUT046
FDL48,680.1963089136498,OUT018
FDC48,2805.6893578182926,OUT027
FDN33,1542.7077296122159,OUT045
FDA36,3053.3319344015836,OUT017
FDT44,2005.9746566311433,OUT017
FDQ56,1359.7124578647233,OUT045
NCC54,1820.5777345924218,OUT019
FDU11,2074.730083095354,OUT049
DRL59,962.5690780097829,OUT013
FDM24,2538.9718049930357,OUT049
FDI57,3048.812985574211,OUT045
DRC12,2725.4398845153746,OUT018
NCM42,3195.9886584872747,OUT027
FDA46,1131.014770178254,OUT010
FDA31,2781.281640856836,OUT013
NCJ31,3802.562526886279,OUT035
FDG52,865.0147693648275,OUT046
NCL19,383.34628710079096,OUT019
FDS10,2985.9122331296553,OUT035
FDX22,1456.4430149157245,OUT010
NCF19,999.117804079784,OUT035
NCE06,2521.8946420325387,OUT046
DRC27,3770.831448965354,OUT046
FDE21,2044.9903998853797,OUT035
NCR42,-1250.8471822991596,OUT019
FDX51,2840.214297768295,OUT018
NCR06,509.61991103344417,OUT018
FDU31,4872.887614429903,OUT027
FDU59,2685.941041243835,OUT017
FDR03,4666.559999347539,OUT027
FDS49,2768.4425270471775,OUT027
FDD48,-9.46867082412109,OUT010
NCF18,3085.346876390554,OUT017
NCD43,3103.939298526068,OUT027
NCD54,2007.1118795452123,OUT018
FDY19,25.795631236185045,OUT010
NCY54,2784.5631758446707,OUT017
NCL19,2022.2342745689846,OUT018
FDP23,1511.3161823436533,OUT010
FDC26,1846.9828058966427,OUT013
FDR14,-928.7903592930833,OUT010
NCS41,2986.046652915551,OUT035
FDF41,3971.5718763142054,OUT035
FDU34,2005.8471794458346,OUT046
DRH11,986.3374011723574,OUT046
FDM03,1730.3634643854707,OUT013
FDS31,2964.673084338303,OUT017
FDJ20,2118.833902140356,OUT017
FDV44,4427.258443641181,OUT027
FDG02,3078.1964526281213,OUT049
FDA09,2876.271383197901,OUT013
FDT04,741.0254874170255,OUT013
FDL58,2224.781697248487,OUT019
