Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1642.007881214643,OUT049
FDW14,1362.0977024995852,OUT017
NCN55,571.1053497414956,OUT010
FDQ58,2475.6335462279217,OUT017
FDY38,5844.684353137471,OUT027
FDH56,1946.9984763381833,OUT046
FDL48,762.1919604213404,OUT018
FDC48,2185.030797627631,OUT027
FDN33,1514.7665942731428,OUT045
FDA36,3081.127441127051,OUT017
FDT44,1923.7640773863945,OUT017
FDQ56,1358.7692823907498,OUT045
NCC54,571.4123084755838,OUT019
FDU11,2021.09048593097,OUT049
DRL59,862.3008401819711,OUT013
FDM24,2452.162219784883,OUT049
FDI57,3068.017722803958,OUT045
DRC12,2956.2180720957426,OUT018
NCM42,2900.751961923375,OUT027
FDA46,506.50527168963896,OUT010
FDA31,2877.998315282442,OUT013
NCJ31,3881.0966057481332,OUT035
FDG52,783.0058763248207,OUT046
NCL19,288.52011282193706,OUT019
FDS10,2998.505370625426,OUT035
FDX22,563.5248210619251,OUT010
NCF19,757.8323239094098,OUT035
NCE06,2541.078344452284,OUT046
DRC27,3872.7868977168996,OUT046
FDE21,1959.1672562427539,OUT035
NCR42,131.73376541150472,OUT019
FDX51,2977.6215137353943,OUT018
NCR06,617.8119998787867,OUT018
FDU31,5844.684353137471,OUT027
FDU59,2548.459457994086,OUT017
FDR03,5841.213141291386,OUT027
FDS49,2057.987803629363,OUT027
FDD48,268.42358350249003,OUT010
NCF18,3029.482053861128,OUT017
NCD43,2851.8641300112176,OUT027
NCD54,2099.999214705574,OUT018
FDY19,268.71651715642884,OUT010
NCY54,2878.3813568988817,OUT017
NCL19,2427.5261104397473,OUT018
FDP23,568.547049413599,OUT010
FDC26,1749.7193556676496,OUT013
FDR14,131.97017845371252,OUT010
NCS41,3122.565566239701,OUT035
FDF41,3871.0336059412475,OUT035
FDU34,2049.6284702110947,OUT046
DRH11,960.1695665715765,OUT046
FDM03,1649.7845970813528,OUT013
FDS31,3057.305257494834,OUT017
FDJ20,1992.5654444215284,OUT017
FDV44,5162.886480615492,OUT027
FDG02,3098.464746984453,OUT049
FDA09,2983.3707051470824,OUT013
FDT04,712.6001570690465,OUT013
FDL58,568.3357873893235,OUT019
FDE52,1380.4639021982025,OUT045
FDW12,2476.78595231632,OUT035
FDL51,3675.9585945723875,OUT017
NCY42,3005.551552767494,OUT027
FDR07,1541.3475576871385,OUT017
FDN40,2470.0802999848365,OUT045
FDB35,2694.957474711961,OUT027
FDA22,2538.1593230075614,OUT017
NCL06,4139.900063066319,OUT046
FDI35,3061.978463949983,OUT013
NCW42,3766.3235631359603,OUT045
NCX06,3001.9255842361435,OUT049
FDC37,2879.0806915655226,OUT027
FDZ14,1954.194291630482,OUT018
DRG49,3844.188115716249,OUT049
NCG06,4091.568835283164,OUT045
DRC36,2884.6539690575087,OUT045
FDV21,280.9638670670445,OUT019
FDB53,2513.654489763783,OUT046
DRP47,570.75718544785,OUT019
FDA14,2461.1699775022284,OUT013
DRC24,2553.6390016437635,OUT035
FDW21,1616.0708597423727,OUT018
NCH29,1543.7953935284843,OUT046
FDU58,3088.154706642776,OUT013
FDY27,2896.216625665632,OUT017
FDV56,1657.7256416708408,OUT035
FDT59,3830.414544407847,OUT046
FDB23,3765.589769401257,OUT046
FDR49,755.9063647440728,OUT045
FDB03,571.8064478807332,OUT010
FDN39,2617.6411052460126,OUT045
FDX02,5847.711749662737,OUT027
FDQ16,2879.0806915655226,OUT027
FDU35,1554.2816500075508,OUT018
NCT29,2012.8967848739078,OUT013
FDZ27,784.6174162838697,OUT046
FDN57,2026.27472070945,OUT017
FDA03,2419.575499981259,OUT018
FDZ36,3119.8736326936723,OUT045
NCU05,1404.9619106300643,OUT013
FDT39,2379.651063559928,OUT018
FDK60,1540.5674941951997,OUT017
FDZ25,2783.308415944931,OUT017
FDG12,2089.9886191849337,OUT046
DRB01,500.8853459988824,OUT019
NCC43,5847.711749662737,OUT027
FDX13,568.184260473237,OUT019
FDM22,864.7197385345648,OUT049
FDJ03,1083.4589841711645,OUT027
FDU14,3756.5556697502407,OUT018
FDB33,380.1682761140907,OUT010
FDP27,3114.845610869238,OUT046
FDO38,160.80198027854,OUT010
FDE28,5847.711749662737,OUT027
FDO27,1513.4034007102011,OUT035
DRL23,2875.5651923988944,OUT027
FDS28,958.1005692233852,OUT046
FDX24,1457.8022864660845,OUT013
FDZ02,1540.967543235509,OUT035
FDL46,1909.6881574324298,OUT045
FDS60,4752.35400368507,OUT027
NCO06,592.5103791577308,OUT017
FDO16,1355.66904262866,OUT035
FDC60,1363.3067240897603,OUT049
FDA48,3453.546541129372,OUT018
FDZ36,5159.492911890543,OUT027
FDK27,2037.1109702697927,OUT045
FDW23,606.9244158051207,OUT018
FDM14,1695.8309799997846,OUT018
FDM14,1652.5110678166382,OUT013
FDW60,2827.24557993223,OUT018
FDE21,1972.5427341293293,OUT013
NCM42,1659.1884025100414,OUT035
FDY59,229.90573598479287,OUT010
DRI49,1321.9939542920392,OUT049
FDT28,364.9600655275249,OUT019
FDQ22,608.0876467744308,OUT018
FDR60,1278.0240033685568,OUT049
FDC50,237.72407147762846,OUT019
FDV24,2412.689009233604,OUT013
DRF48,491.49984148336443,OUT010
FDQ47,631.4104308500969,OUT046
DRN36,1535.2720600647094,OUT049
NCY06,2012.6389332630633,OUT035
FDE52,1381.813629094372,OUT035
NCB54,2003.1987086490085,OUT045
NCF31,2491.411864035367,OUT035
FDJ08,5174.311306594053,OUT027
NCC07,1646.7748482250004,OUT017
NCD19,1255.173083512789,OUT027
FDL46,1970.349595546556,OUT049
FDM20,4011.1667020110194,OUT045
NCI06,450.8972476686603,OUT010
DRM11,4188.099549044748,OUT035
NCH07,2478.5340223995204,OUT018
FDS23,2038.8122383034674,OUT013
FDO49,762.8875541393624,OUT018
FDS35,1070.8422362292579,OUT049
DRK39,1342.8753130255416,OUT045
DRI39,898.8760020266106,OUT049
FDV04,2510.2767956667817,OUT017
NCN14,3071.9276476715313,OUT035
FDH08,3750.074849190323,OUT013
FDS20,3148.009111789879,OUT046
FDV40,1148.954871016894,OUT049
FDZ48,258.73352941800755,OUT010
FDS24,2556.1035195732866,OUT027
FDK44,2866.486002936463,OUT049
FDS48,2530.894799516942,OUT045
FDK26,491.3799670219265,OUT010
FDD23,3100.9500213343504,OUT045
NCH54,2580.832893893824,OUT017
NCP14,241.48112152770827,OUT010
FDM60,131.73376541150472,OUT010
FDV24,2451.687442151129,OUT017
FDH08,3519.822658837596,OUT018
FDS12,2979.392201016752,OUT027
FDR39,4852.739375855717,OUT027
FDP12,1010.2695930612589,OUT027
DRF60,5847.711749662737,OUT027
FDC09,1646.0491485128957,OUT035
FDF50,3002.973850733469,OUT018
FDG28,4009.466367369462,OUT035
NCE19,867.5556967768541,OUT017
NCM53,251.02372863259757,OUT010
NCN18,1722.1242679414374,OUT049
FDF32,3129.905298827206,OUT035
FDF11,3943.5618088246783,OUT013
DRI59,3778.4187200546417,OUT049
NCG54,2800.0387912579768,OUT035
FDM44,1639.4323040594222,OUT046
FDT57,3595.4362700296783,OUT018
FDV24,2463.3304268059337,OUT046
FDI50,568.184260473237,OUT019
FDS09,769.7189647303509,OUT035
NCC31,4103.559369012048,OUT027
FDQ07,570.75718544785,OUT019
FDC22,3108.2371900528174,OUT017
FDZ56,2798.389886541117,OUT046
FDZ40,131.73376541150472,OUT019
FDS46,2930.6491290994804,OUT027
DRD24,2061.42246068828,OUT045
FDV45,3075.614215404783,OUT017
FDL26,2535.711377562046,OUT045
FDA56,2001.6004819211353,OUT018
FDN27,1979.761782990642,OUT046
FDM20,3958.0698601893355,OUT049
FDO16,1341.798805650362,OUT017
FDL03,3024.8800595307757,OUT035
FDE58,1958.8476791203575,OUT046
FDI02,2922.05512900469,OUT027
NCC55,131.73376541150472,OUT019
FDR03,3213.949127938559,OUT018
FDB14,1442.3490059101273,OUT017
FDR45,3945.2719777286356,OUT013
NCN07,2042.2312777525567,OUT017
FDM51,248.02234082297684,OUT019
FDT52,5844.684353137471,OUT027
FDL26,2523.517082164007,OUT046
NCZ42,3902.6604811700736,OUT046
DRI47,366.4567884175662,OUT019
FDW40,2075.0546145950907,OUT013
FDN34,2787.9071291429486,OUT046
FDS01,2948.8281867851206,OUT035
NCG55,1926.8365601732073,OUT045
FDC11,1358.7302155448085,OUT035
FDX35,3503.693705124086,OUT018
NCB06,2579.474044042845,OUT046
FDR09,571.4123084755838,OUT019
FDC53,1542.5327011342886,OUT017
FDY45,4089.7191547286584,OUT013
FDA22,384.59647248972936,OUT010
FDE02,1513.3397178805596,OUT035
FDW21,1628.859537153562,OUT045
FDV34,1179.2593049751306,OUT046
FDS59,1648.698833978158,OUT049
NCW17,2056.9055299677448,OUT017
NCK54,1974.3007252220968,OUT046
FDG17,568.184260473237,OUT019
FDG35,2872.5559072193423,OUT017
FDD08,131.73376541150472,OUT010
NCO07,3653.386856459772,OUT017
FDJ10,279.8041256017425,OUT010
FDW36,1647.6212454544427,OUT017
FDW21,239.50132641483668,OUT010
FDY19,1923.3706948255399,OUT017
DRE03,821.620658491811,OUT013
NCC55,638.2930099054404,OUT049
FDH52,135.47346859525862,OUT010
FDO09,4104.191334073079,OUT017
FDU43,3970.6379302819587,OUT045
FDX09,427.0399164169265,OUT010
FDH40,198.53124812618597,OUT019
FDW58,1644.8229367185427,OUT017
FDC47,3773.9554548180236,OUT017
NCR41,1496.6323802205795,OUT035
DRG49,3903.5451194670723,OUT035
FDC52,4074.6298394998257,OUT027
FDY13,1185.4929416542955,OUT046
FDY35,723.2170079753862,OUT013
FDI35,3109.009553775215,OUT017
NCU18,2086.577575466697,OUT049
FDY33,2486.566376275051,OUT018
FDC15,4169.614670679664,OUT027
FDU01,3059.5461006117507,OUT049
NCU42,2800.9245052358224,OUT046
NCV29,2832.387019080935,OUT018
NCY30,3041.498404912541,OUT017
FDQ46,1745.845022592739,OUT049
FDG58,4103.559369012048,OUT027
FDK33,3656.1577081909504,OUT017
NCD07,1907.5172762657498,OUT045
NCX29,4018.5138563749897,OUT027
NCT42,2412.836517624224,OUT013
DRN59,752.7678508610832,OUT035
FDI44,1284.9734296724132,OUT035
FDA45,2855.3197926941502,OUT049
FDP31,1057.0463850954695,OUT045
FDY01,1951.2127183529003,OUT046
FDT09,2031.1193648300628,OUT018
DRH03,2831.350175223827,OUT027
FDA36,2984.658170832936,OUT018
NCF31,2461.947390750761,OUT017
FDG14,2461.8011308111795,OUT049
FDG28,5847.711749662737,OUT027
FDU14,4068.4360407387844,OUT049
FDY47,285.4931835203993,OUT019
FDI56,1377.7959395960797,OUT049
DRD01,1030.4700571061321,OUT013
FDM22,953.129505558745,OUT046
FDH33,719.3716401028661,OUT013
DRZ24,1942.9371526008877,OUT013
NCQ38,1646.0491485128957,OUT046
FDO16,2393.9881542681223,OUT027
FDU07,4049.150732065515,OUT027
NCB07,3015.3139786249453,OUT013
FDU48,2019.0186882576295,OUT045
NCM43,2650.377641233716,OUT045
FDR31,364.4543178414191,OUT010
DRK49,610.6760244773509,OUT018
NCI30,571.7604727692295,OUT010
DRD60,3053.9488832837187,OUT017
NCG19,3801.2445140045984,OUT046
FDH12,1647.6212454544427,OUT035
FDM32,1439.836446857142,OUT035
FDM27,2549.173181195527,OUT035
NCU53,4257.218851640089,OUT027
NCQ18,1564.0394751195167,OUT046
FDS10,2905.0376611711335,OUT013
FDB33,4169.614670679664,OUT027
FDI12,1421.2623066595409,OUT013
NCW42,3669.440943273052,OUT013
NCC06,2015.9937791186187,OUT018
FDW02,2016.985548486265,OUT017
NCD43,1647.035129419665,OUT017
FDM57,1347.5783337068988,OUT018
FDA58,3884.5621619264894,OUT017
FDK56,3126.561717518017,OUT046
FDP52,3882.6302807419906,OUT045
FDW20,2011.135200658305,OUT018
FDS52,1610.1812109063203,OUT049
NCT29,1937.3317109221443,OUT018
NCL54,2880.1846240172495,OUT013
